,paragraph_id,sentence_id,course,essay_new,annotated_sentence,full_error_tag,error_tag,correction,error,target,source,correction_index,new_error_type,final_evident_index,target_sentence,source_sentence
0,13,452c9dc1a268e1cd5d57357198dc84aa00deacae5ec6c2007fbd5b22550e740e,SPA 1,"No confundas Selena Gomez con Selena Quintanilla, de quien Selena Gomez es nombrada.","No confundas []{a}<az:do:an> Selena Gomez con Selena Quintanilla, de quien Selena Gomez es nombrada.",[]{a}<az:do:an>,az:do:an,a,,"['No', 'confundas', 'a', 'Selena', 'Gomez', 'con', 'Selena', 'Quintanilla', ',', 'de', 'quien', 'Selena', 'Gomez', 'es', 'nombrada', '.']","['No', 'confundas', '[NONE]', 'Selena', 'Gomez', 'con', 'Selena', 'Quintanilla', ',', 'de', 'quien', 'Selena', 'Gomez', 'es', 'nombrada', '.']","[2, 19]",article,"[1, 3, 4, 5, 6, 7, 18, 20, 21, 22, 23, 24]","No confundas a Selena Gomez con Selena Quintanilla, de quien Selena Gomez es nombrada.","No confundas [NONE] Selena Gomez con Selena Quintanilla, de quien Selena Gomez es nombrada."
1,18,e627490f6722ef9caeb07e150107b31bcc9c088016a5791570f59dedab58433b,SPA 2,"Un Otro famoso actor, que llama Nicolas Cage, ayudo Johnny Depp empezar su profesión de actor.","Un Otro famoso actor, que llama Nicolas Cage, ayudo []{a}<az:do:an> Johnny Depp empezar su profesión de actor.",[]{a}<az:do:an>,az:do:an,a,,"['Un', 'Otro', 'famoso', 'actor', ',', 'que', 'llama', 'Nicolas', 'Cage', ',', 'ayudo', 'a', 'Johnny', 'Depp', 'empezar', 'su', 'profesión', 'de', 'actor', '.']","['Un', 'Otro', 'famoso', 'actor', ',', 'que', 'llama', 'Nicolas', 'Cage', ',', 'ayudo', '[NONE]', 'Johnny', 'Depp', 'empezar', 'su', 'profesión', 'de', 'actor', '.']","[11, 32]",article,"[7, 8, 10, 12, 13, 14, 28, 29, 31, 33, 34, 35]","Un Otro famoso actor, que llama Nicolas Cage, ayudo a Johnny Depp empezar su profesión de actor.","Un Otro famoso actor, que llama Nicolas Cage, ayudo [NONE] Johnny Depp empezar su profesión de actor."
10,71,32941ba77d49c383a207ba106c4f17ba3cdd3b65d1743530dfc1706b1b3d8be6,SPA 1,Yo miro él en la television.,Yo miro []{a}<az:do:an> él en la television.,[]{a}<az:do:an>,az:do:an,a,,"['Yo', 'miro', 'a', 'él', 'en', 'la', 'television', '.']","['Yo', 'miro', '[NONE]', 'él', 'en', 'la', 'television', '.']","[2, 11]",article,"[0, 1, 3, 4, 5, 6, 9, 10, 12, 13, 14, 15]",Yo miro a él en la television.,Yo miro [NONE] él en la television.
13,93,b415e59e20c87c8daba6816136d38e6dfc1fc005c53019b66aacc878ce1ccdc2,SPA 2,Yo quiero conocer Taylor Swift porque ella no es aburrida.,Yo quiero conocer []{a}<az:do:an> Taylor Swift porque ella no es aburrida.,[]{a}<az:do:an>,az:do:an,a,,"['Yo', 'quiero', 'conocer', 'a', 'Taylor', 'Swift', 'porque', 'ella', 'no', 'es', 'aburrida', '.']","['Yo', 'quiero', 'conocer', '[NONE]', 'Taylor', 'Swift', 'porque', 'ella', 'no', 'es', 'aburrida', '.']","[3, 16]",article,"[2, 4, 5, 15, 17, 18]",Yo quiero conocer a Taylor Swift porque ella no es aburrida.,Yo quiero conocer [NONE] Taylor Swift porque ella no es aburrida.
32,139,7fcc1b964f356d5b3dad9225764cb914dda11c2bea8138b58384f73829ab156f,SPA 2,Yo admiro Ian Somerhalder porque yo estoy interesado en ayudando el medio ambiente.,Yo admiro []{a}<az:do:an> Ian Somerhalder porque yo estoy interesado en ayudando el medio ambiente.,[]{a}<az:do:an>,az:do:an,a,,"['Yo', 'admiro', 'a', 'Ian', 'Somerhalder', 'porque', 'yo', 'estoy', 'interesado', 'en', 'ayudando', 'el', 'medio', 'ambiente', '.']","['Yo', 'admiro', '[NONE]', 'Ian', 'Somerhalder', 'porque', 'yo', 'estoy', 'interesado', 'en', 'ayudando', 'el', 'medio', 'ambiente', '.']","[2, 18]",article,"[1, 3, 4, 17, 19, 20]",Yo admiro a Ian Somerhalder porque yo estoy interesado en ayudando el medio ambiente.,Yo admiro [NONE] Ian Somerhalder porque yo estoy interesado en ayudando el medio ambiente.
62,213,942dd8021db45ca6e85ab38f908aec9c99500388a8f0053e9f43d09e412c21e0,SPA 3,"Muchas gentes, especialmente los americanos blancos, discriminó King Jr.","Muchas gentes, especialmente los americanos blancos, discriminó []{a}<az:do:an>  King Jr.",[]{a}<az:do:an>,az:do:an,a,,"['Muchas', 'gentes', ',', 'especialmente', 'los', 'americanos', 'blancos', ',', 'discriminó', 'a', 'King', 'Jr', '.']","['Muchas', 'gentes', ',', 'especialmente', 'los', 'americanos', 'blancos', ',', 'discriminó', '[NONE]', 'King', 'Jr', '.']","[9, 23]",article,[],"Muchas gentes, especialmente los americanos blancos, discriminó a King Jr.","Muchas gentes, especialmente los americanos blancos, discriminó [NONE] King Jr."
66,253,ed9489b4b02118fbb25cf7acab5c7ee3a9c34ba4146b247925832e31ff9892d8,SPA 2,"Daniel Radcliff no esta vano, en su películas el no se para a una caja, el vive su vida a una persona bajo.","Daniel Radcliff no esta vano, en su películas el no se para [a]{}<za:do:inan> una caja, el vive su vida a una persona bajo.",[a]{}<za:do:inan>,za:do:inan,,a,"['Daniel', 'Radcliff', 'no', 'esta', 'vano', ',', 'en', 'su', 'películas', 'el', 'no', 'se', 'para', '[NONE]', 'una', 'caja', ',', 'el', 'vive', 'su', 'vida', 'a', 'una', 'persona', 'bajo', '.']","['Daniel', 'Radcliff', 'no', 'esta', 'vano', ',', 'en', 'su', 'películas', 'el', 'no', 'se', 'para', 'a', 'una', 'caja', ',', 'el', 'vive', 'su', 'vida', 'a', 'una', 'persona', 'bajo', '.']","[13, 40]",article,"[11, 12, 18, 19, 38, 39, 45, 46]","Daniel Radcliff no esta vano, en su películas el no se para [NONE] una caja, el vive su vida a una persona bajo.","Daniel Radcliff no esta vano, en su películas el no se para a una caja, el vive su vida a una persona bajo."
82,297,53e6c64f2c3b412ac382aa7e06200a8ee2ee1e9acf6f1c5f2d3cbab2f78d4efa,SPA 2,Muchas personas conocen Jackie Chan y les gusta su personalidad.,Muchas personas conocen []{a}<az:do:an> Jackie Chan y les gusta su personalidad.,[]{a}<az:do:an>,az:do:an,a,,"['Muchas', 'personas', 'conocen', 'a', 'Jackie', 'Chan', 'y', 'les', 'gusta', 'su', 'personalidad', '.']","['Muchas', 'personas', 'conocen', '[NONE]', 'Jackie', 'Chan', 'y', 'les', 'gusta', 'su', 'personalidad', '.']","[3, 16]",article,"[2, 4, 5, 15, 17, 18]",Muchas personas conocen a Jackie Chan y les gusta su personalidad.,Muchas personas conocen [NONE] Jackie Chan y les gusta su personalidad.
84,302,a610d394caebdcdaa7ee855abed9e8640addc30e78976fafc48c2d4d7f77ebfe,SPA 2,Su tristeza ayudó Kanye crear su música mejores.,Su tristeza ayudó []{a}<az:do:an> Kanye crear su música mejores.,[]{a}<az:do:an>,az:do:an,a,,"['Su', 'tristeza', 'ayudó', 'a', 'Kanye', 'crear', 'su', 'música', 'mejores', '.']","['Su', 'tristeza', 'ayudó', '[NONE]', 'Kanye', 'crear', 'su', 'música', 'mejores', '.']","[3, 14]",article,"[0, 1, 2, 11, 12, 13]",Su tristeza ayudó a Kanye crear su música mejores.,Su tristeza ayudó [NONE] Kanye crear su música mejores.
92,321,bc17b7b7f6a9c2c865b33acae4cc3387aec3c5a8b4b2b1b94bef0687e58938b0,SPA 2,"

Cuando yo tengo catorce años en dos mil doce, yo vi William Levy bailar la merengue con la bailarina experta Cheryl Burke en el programa ""Dancing with the stars"".","Cuando yo tengo catorce años en dos mil doce, yo vi []{a}<az:do:an> William Levy bailar la merengue con la bailarina experta Cheryl Burke en el programa ""Dancing with the stars"".",[]{a}<az:do:an>,az:do:an,a,,"['Cuando', 'yo', 'tengo', 'catorce', 'años', 'en', 'dos', 'mil', 'doce', ',', 'yo', 'vi', 'a', 'William', 'Levy', 'bailar', 'la', 'merengue', 'con', 'la', 'bailarina', 'experta', 'Cheryl', 'Burke', 'en', 'el', 'programa', '""', 'Dancing', 'with', 'the', 'stars', '""', '.']","['Cuando', 'yo', 'tengo', 'catorce', 'años', 'en', 'dos', 'mil', 'doce', ',', 'yo', 'vi', '[NONE]', 'William', 'Levy', 'bailar', 'la', 'merengue', 'con', 'la', 'bailarina', 'experta', 'Cheryl', 'Burke', 'en', 'el', 'programa', '""', 'Dancing', 'with', 'the', 'stars', '""', '.']","[12, 47]",article,[],"Cuando yo tengo catorce años en dos mil doce, yo vi a William Levy bailar la merengue con la bailarina experta Cheryl Burke en el programa ""Dancing with the stars"" .","Cuando yo tengo catorce años en dos mil doce, yo vi [NONE] William Levy bailar la merengue con la bailarina experta Cheryl Burke en el programa ""Dancing with the stars"" ."
