'Sentence #','Word','POS','Tag'
Sentence: 2390,Voy,,O
,allí,,O
,en,,O
,junio,,O
,después,,O
,la,,B-ga
,fin,,O
,de,,O
,la,,O
,escuela,,O
,.,,O
Sentence: 4738,En,,O
,mi,,B-na
,vacaciones,,O
,perfectas,,O
,",",,O
,yo,,O
,empezaré,,O
,en,,O
,England,,O
,.,,O
Sentence: 2669,He,,O
,tenido,,O
,estos,,O
,antes,,O
,y,,O
,son,,O
,deliciosas,,O
,y,,O
,caliente,,B-na
,.,,O
Sentence: 2670,Yo,,O
,iria,,O
,Hawaii,,O
,porque,,O
,la,,B-ga
,clima,,O
,caliente,,O
,.,,O
Sentence: 4731,Pero,,O
,no,,O
,necesitas,,O
,estar,,O
,en,,O
,el,,O
,cuarto,,O
,para,,O
,todo,,B-ga
,su,,O
,vacaciones,,O
,",",,O
,puedes,,O
,ir,,O
,a,,O
,el,,O
,cine,,O
,con,,O
,su,,O
,famila,,O
,para,,O
,un,,O
,buen,,O
,tiempo,,O
,o,,O
,socializar,,O
,con,,O
,sus,,O
,amigos,,O
,o,,O
,con,,O
,su,,O
,novia,,O
,o,,O
,novio,,O
,.,,O
Sentence: 1794,Ella,,O
,no,,O
,tengo,,O
,un,,O
,esposo,,O
,",",,O
,pero,,O
,ella,,O
,es,,O
,muy,,O
,famoso,,B-ga
,alredorde,,O
,el,,O
,mundo,,O
,.,,O
Sentence: 2455,Puede,,O
,ser,,O
,más,,O
,seguro,,O
,viajar,,O
,a,,O
,Australia,,O
,porque,,O
,conozco,,O
,gente,,O
,allí,,O
,y,,O
,soy,,O
,fluido,,B-ga
,en,,O
,el,,O
,idioma,,O
,.,,O
Sentence: 2460,Entonces,,O
,",",,O
,voy,,O
,a,,O
,visitarlo,,O
,por,,O
,un,,B-ga
,tarde,,O
,.,,O
Sentence: 4779,en,,O
,un,,O
,vaccione,,O
,perfecto,,O
,",",,O
,cuando,,O
,yo,,O
,voy,,O
,con,,O
,mis,,O
,amigos,,O
,",",,O
,las,,O
,vaccaciones,,O
,tiene,,O
,mucha,,B-ga
,drama,,O
,y,,O
,yo,,O
,no,,O
,quiero,,O
,viajar,,O
,a,,O
,una,,O
,vacaciones,,O
,con,,O
,mucho,,O
,drama,,O
,.,,O
Sentence: 4087,Entonces,,O
,quiero,,O
,hornearlos,,B-ga
,y,,O
,comerlas,,O
,con,,O
,mantequilla,,O
,.,,O
Sentence: 2729,Luego,,O
,",",,O
,vamos,,O
,a,,O
,la,,O
,cuidad,,O
,otra,,O
,vez,,O
