,paragraph_id,sentence_id,course,essay_new,annotated_sentence,anno_error_cnt,full_error_tag,order_tag,error_tag,correction,error,target,correction_index,error_type,source,new_error_type
566,984,2d4b140839dad440692bcfef9a57b52cb97054854398ed4729f1aba0c6c99b26,SPA 3,Las playas estan muy bonita y grande.,Las playas estan muy [bonita]{bonitas}<na:ps:adj:inan> y [grande]{grandes}<na:ps:adj:inan>.,2,[grande]{grandes}<na:ps:adj:inan>,1,na:ps:adj:inan,grandes,grande,"['Las', 'playas', 'estan', 'muy', 'bonitas', 'y', 'grandes', '.']","[6, 15]",na:ps,"['Las', 'playas', 'estan', 'muy', 'bonitas', 'y', 'grande', '.']",number agreement
566,984,2c946cef28af6b552edc91498fbdfabe8f05d21ae35c48db335570386dd1a819,SPA 3,Los peces es bonita y tiene muchas colores.,Los peces es [bonita]{bonitos}<ga:na:mf:ps:adj:inan> y tiene [muchas]{muchos}<ga:mf:det:inan> colores.,2,[bonita]{bonitos}<ga:na:mf:ps:adj:inan>,0,ga:na:mf:ps:adj:inan,bonitos,bonita,"['Los', 'peces', 'es', 'bonitos', 'y', 'tiene', 'muchos', 'colores', '.']","[3, 13]",ga:na:mf:ps,"['Los', 'peces', 'es', 'bonita', 'y', 'tiene', 'muchos', 'colores', '.']",gender and number agreement
566,984,2c946cef28af6b552edc91498fbdfabe8f05d21ae35c48db335570386dd1a819,SPA 3,Los peces es bonita y tiene muchas colores.,Los peces es [bonita]{bonitos}<ga:na:mf:ps:adj:inan> y tiene [muchas]{muchos}<ga:mf:det:inan> colores.,2,[muchas]{muchos}<ga:mf:det:inan>,1,ga:mf:det:inan,muchos,muchas,"['Los', 'peces', 'es', 'bonitos', 'y', 'tiene', 'muchos', 'colores', '.']","[6, 16]",ga:mf,"['Los', 'peces', 'es', 'bonitos', 'y', 'tiene', 'muchas', 'colores', '.']",gender agreement
566,984,503535fef581b060d57ebf001ec1622d8808f77b3e3f43288bee687da6e18055,SPA 3,Las personas con fuego esta buena y intresante.,Las personas con fuego esta [buena]{buenas}<na:ps:adj:an> y [intresante]{interesantes}<na:ps:adj:an>.,2,[buena]{buenas}<na:ps:adj:an>,0,na:ps:adj:an,buenas,buena,"['Las', 'personas', 'con', 'fuego', 'esta', 'buenas', 'y', 'interesantes', '.']","[5, 15]",na:ps,"['Las', 'personas', 'con', 'fuego', 'esta', 'buena', 'y', 'interesantes', '.']",number agreement
566,984,503535fef581b060d57ebf001ec1622d8808f77b3e3f43288bee687da6e18055,SPA 3,Las personas con fuego esta buena y intresante.,Las personas con fuego esta [buena]{buenas}<na:ps:adj:an> y [intresante]{interesantes}<na:ps:adj:an>.,2,[intresante]{interesantes}<na:ps:adj:an>,1,na:ps:adj:an,interesantes,intresante,"['Las', 'personas', 'con', 'fuego', 'esta', 'buenas', 'y', 'interesantes', '.']","[7, 17]",na:ps,"['Las', 'personas', 'con', 'fuego', 'esta', 'buenas', 'y', 'intresante', '.']",number agreement
566,984,b4a1acc42123611c8bdd2414d6118f3ee78271f292a874c610c4cc315135bdcb,SPA 3,Las hulas chicas estan muy bonita y activo.,Las hulas chicas estan muy [bonita]{bonitas}<na:ps:adj:an> y [activo]{activas}<ga:na:fm:ps:adj:an>.,2,[bonita]{bonitas}<na:ps:adj:an>,0,na:ps:adj:an,bonitas,bonita,"['Las', 'hulas', 'chicas', 'estan', 'muy', 'bonitas', 'y', 'activas', '.']","[5, 15]",na:ps,"['Las', 'hulas', 'chicas', 'estan', 'muy', 'bonita', 'y', 'activas', '.']",number agreement
566,984,b4a1acc42123611c8bdd2414d6118f3ee78271f292a874c610c4cc315135bdcb,SPA 3,Las hulas chicas estan muy bonita y activo.,Las hulas chicas estan muy [bonita]{bonitas}<na:ps:adj:an> y [activo]{activas}<ga:na:fm:ps:adj:an>.,2,[activo]{activas}<ga:na:fm:ps:adj:an>,1,ga:na:fm:ps:adj:an,activas,activo,"['Las', 'hulas', 'chicas', 'estan', 'muy', 'bonitas', 'y', 'activas', '.']","[7, 17]",ga:na:fm:ps,"['Las', 'hulas', 'chicas', 'estan', 'muy', 'bonitas', 'y', 'activo', '.']",gender and number agreement
566,984,daaa788a8c121e8bb962ba6273294b1f416615b52060fc81d0b5335427ac9570,SPA 3,Ellos bailan muchos y siempre sonreír.,[Ellos]{ellas}<ga:fm:pron:an> bailan [muchos]{mucho}<in:p:adv> y siempre sonreír.,2,[Ellos]{ellas}<ga:fm:pron:an>,0,ga:fm:pron:an,ellas,Ellos,"['ellas', 'bailan', 'mucho', 'y', 'siempre', 'sonreír', '.']","[0, 8]",ga:fm,"['Ellos', 'bailan', 'mucho', 'y', 'siempre', 'sonreír', '.']",gender agreement
566,984,daaa788a8c121e8bb962ba6273294b1f416615b52060fc81d0b5335427ac9570,SPA 3,Ellos bailan muchos y siempre sonreír.,[Ellos]{ellas}<ga:fm:pron:an> bailan [muchos]{mucho}<in:p:adv> y siempre sonreír.,2,[muchos]{mucho}<in:p:adv>,1,in:p:adv,mucho,muchos,"['ellas', 'bailan', 'mucho', 'y', 'siempre', 'sonreír', '.']","[2, 10]",in:p,"['ellas', 'bailan', 'muchos', 'y', 'siempre', 'sonreír', '.']",number agreement
571,990,6291916380a7faeca808d4cf8350fd69ea27ceebec686991dcf31e738aba7caa,SPA 2,"Yo vería los pájaros, las plantas, los flores, los animales, las personas de Hawaii, la playa, el mar, las pescados y casas muy interesante.","Yo vería los pájaros, las plantas, los flores, los animales, las personas de Hawaii, la playa, el mar, [las]{los}<ga:mf:det:inan> pescados y casas muy [interesante]{interesantes}<na:ps:adj:inan>.",2,[las]{los}<ga:mf:det:inan>,0,ga:mf:det:inan,los,las,"['Yo', 'vería', 'los', 'pájaros', ',', 'las', 'plantas', ',', 'los', 'flores', ',', 'los', 'animales', ',', 'las', 'personas', 'de', 'Hawaii', ',', 'la', 'playa', ',', 'el', 'mar', ',', 'los', 'pescados', 'y', 'casas', 'muy', 'interesantes', '.']","[25, 58]",ga:mf,"['Yo', 'vería', 'los', 'pájaros', ',', 'las', 'plantas', ',', 'los', 'flores', ',', 'los', 'animales', ',', 'las', 'personas', 'de', 'Hawaii', ',', 'la', 'playa', ',', 'el', 'mar', ',', 'las', 'pescados', 'y', 'casas', 'muy', 'interesantes', '.']",gender agreement
