,paragraph_id,sentence_id,course,essay_new,annotated_sentence,full_error_tag,error_tag,correction,error,target,source,correction_index,new_error_type,raw_evidence
33,144,23f769f4972184b3c91115068a79f84ab5d5400f23ee38f8889b8377d9eee613,SPA 1,"En septiembre de 2006, Pitt y Jolie establecieron una organización caritativa, la Fundación Jolie-Pitt, para ayudar a las causas humanitarias en todo el mundo.","En septiembre de 2006, Pitt y Jolie establecieron una organización caritativa, la Fundación Jolie-Pitt, para ayudar [a]{}<za:do:inan> las causas humanitarias en todo el mundo.",[a]{}<za:do:inan>,za:do:inan,,a,"['En', 'septiembre', 'de', '2006', ',', 'Pitt', 'y', 'Jolie', 'establecieron', 'una', 'organización', 'caritativa', ',', 'la', 'Fundación', 'Jolie', '-', 'Pitt', ',', 'para', 'ayudar', '[NONE]', 'las', 'causas', 'humanitarias', 'en', 'todo', 'el', 'mundo', '.']","['En', 'septiembre', 'de', '2006', ',', 'Pitt', 'y', 'Jolie', 'establecieron', 'una', 'organización', 'caritativa', ',', 'la', 'Fundación', 'Jolie', '-', 'Pitt', ',', 'para', 'ayudar', 'a', 'las', 'causas', 'humanitarias', 'en', 'todo', 'el', 'mundo', '.']","[21, 52]",article,"evidence words = ""para"", ""ayudar"", ""a"", ""las""
indexes = 32, 33, 34, 35"
54,207,7780bedfea4388b2e5ddb0eed743b73f08d0bfd5e3577903a975fed6238fb329,SPA 1,"Él le da a su estudiante unas papeles, unos lápices, unos bolígrafo, una mochila, unoa calculadora, y unos cuaderno.","Él le da [a]{a}<aa:io:an> su estudiante unas papeles, unos lápices, unos bolígrafo, una mochila, unoa calculadora, y unos cuaderno.",[a]{a}<aa:io:an>,aa:io:an,a,a,"['Él', 'le', 'da', 'a', 'su', 'estudiante', 'unas', 'papeles', ',', 'unos', 'lápices', ',', 'unos', 'bolígrafo', ',', 'una', 'mochila', ',', 'unoa', 'calculadora', ',', 'y', 'unos', 'cuaderno', '.']","['Él', 'le', 'da', 'a', 'su', 'estudiante', 'unas', 'papeles', ',', 'unos', 'lápices', ',', 'unos', 'bolígrafo', ',', 'una', 'mochila', ',', 'unoa', 'calculadora', ',', 'y', 'unos', 'cuaderno', '.']","[3, 29]",article,"evidence words = unoa, calculadora
indexes = 13, 14"
83,297,8096ce69dae7e8547a3d9286ad65c2a4972183e18ac177c2f92283c14af18ff4,SPA 2,"También, él es embajador para ayudar a la conservación de los pandas.","También, él es embajador para ayudar [a]{}<za:do:inan> la conservación de los pandas.",[a]{}<za:do:inan>,za:do:inan,,a,"['También', ',', 'él', 'es', 'embajador', 'para', 'ayudar', '[NONE]', 'la', 'conservación', 'de', 'los', 'pandas', '.']","['También', ',', 'él', 'es', 'embajador', 'para', 'ayudar', 'a', 'la', 'conservación', 'de', 'los', 'pandas', '.']","[7, 22]",article,"evidence words = ayudar, a
indexes = 6, 7"
137,454,a5f1071046c1275043b5fcfb542a71a420b045455c34c03f4d6e7358eeb1205d,SPA 3,Ella decidió llevar a los Estados Unidos a la edad de diecisiete años.,Ella decidió llevar [a]{}<za:do:inan> los Estados Unidos a la edad de diecisiete años.,[a]{}<za:do:inan>,za:do:inan,,a,"['Ella', 'decidió', 'llevar', '[NONE]', 'los', 'Estados', 'Unidos', 'a', 'la', 'edad', 'de', 'diecisiete', 'años', '.']","['Ella', 'decidió', 'llevar', 'a', 'los', 'Estados', 'Unidos', 'a', 'la', 'edad', 'de', 'diecisiete', 'años', '.']","[3, 18]",article,"evidence words = a, a
indexes = 3, 6"
157,528,114aed544e8ef383f6ec317584868e6e7f6080ccf9205d704c648e6b676d7809,SPA 3,"Pasó la mayor parte de su carrera con los Minnesota Timberwolves, donde ayudó a revivir una franquicia perdedora por sí mismo, ayudando al equipo a llegar a los playoffs durante muchos años.","Pasó la mayor parte de su carrera con los Minnesota Timberwolves, donde ayudó a revivir una franquicia perdedora por sí mismo, ayudando [al]{al}<aa:do:an> equipo a llegar a los playoffs durante muchos años.",[al]{al}<aa:do:an>,aa:do:an,al,al,"['Pasó', 'la', 'mayor', 'parte', 'de', 'su', 'carrera', 'con', 'los', 'Minnesota', 'Timberwolves', ',', 'donde', 'ayudó', 'a', 'revivir', 'una', 'franquicia', 'perdedora', 'por', 'sí', 'mismo', ',', 'ayudando', 'al', 'equipo', 'a', 'llegar', 'a', 'los', 'playoffs', 'durante', 'muchos', 'años', '.']","['Pasó', 'la', 'mayor', 'parte', 'de', 'su', 'carrera', 'con', 'los', 'Minnesota', 'Timberwolves', ',', 'donde', 'ayudó', 'a', 'revivir', 'una', 'franquicia', 'perdedora', 'por', 'sí', 'mismo', ',', 'ayudando', 'al', 'equipo', 'a', 'llegar', 'a', 'los', 'playoffs', 'durante', 'muchos', 'años', '.']","[24, 60]",article,"evidence words = ""al"", ""al""
indexes = 25, 31"
168,653,158b36f69271602fc79b0f0bc839cd62fd4b1f0d0b8ec71b13f05f4a1814aa70,SPA 3,Voy a traducir Kim Jong Un.,Voy a traducir []{a}<az:do:an>  Kim Jong Un.,[]{a}<az:do:an>,az:do:an,a,,"['Voy', 'a', 'traducir', 'a', 'Kim', 'Jong', 'Un', '.']","['Voy', 'a', 'traducir', '[NONE]', 'Kim', 'Jong', 'Un', '.']","[3, 12]",article,"evidence words = Voy, a, traducir, [NONE], Kim, Jong, Un
indexes = 0, 1, 2, 3, 4, 5, 6"
176,700,07563b7422c7344e6c29c47b3670f123013496e96a08bf89af5a6dd9f28f3325,SPA 3,"Además, influenció a su marido para promulgar políticas que ayudaron personas desfavorecidas.","Además, influenció   su marido para promulgar políticas que ayudaron [a]{}<za:do:inan> personas desfavorecidas.",[a]{}<za:do:inan>,za:do:inan,,a,"['Además', ',', 'influenció', 'su', 'marido', 'para', 'promulgar', 'políticas', 'que', 'ayudaron', '[NONE]', 'personas', 'desfavorecidas', '.']","['Además', ',', 'influenció', 'su', 'marido', 'para', 'promulgar', 'políticas', 'que', 'ayudaron', 'a', 'personas', 'desfavorecidas', '.']","[10, 25]",article,"evidence words = ""ayudaron"", ""a""
indexes = 9, 10"
177,703,b961b6dfbe3f5a074d03d296e53e66671438944ec566083857e407ffcc07820b,SPA 3,Él interpreta al personaje llamado Rafael.,Él interpreta [al]{al}<aa:do:an> personaje llamado Rafael.,[al]{al}<aa:do:an>,aa:do:an,al,al,"['Él', 'interpreta', 'al', 'personaje', 'llamado', 'Rafael', '.']","['Él', 'interpreta', 'al', 'personaje', 'llamado', 'Rafael', '.']","[2, 10]",article,"evidence words = ""al""
indexes = 2"
230,945,843c44718e4da2fa8beb357efb03ea1f08969ce92177c2f65338e81b632b9cbc,SPA 3,"Me gusta el mar y ver los animales como pescado, tiburón, y ballenas.","Me gusta el mar y ver []{a}<az:do:an> los animales como pescado, tiburón, y ballenas.",[]{a}<az:do:an>,az:do:an,a,,"['Me', 'gusta', 'el', 'mar', 'y', 'ver', 'a', 'los', 'animales', 'como', 'pescado', ',', 'tiburón', ',', 'y', 'ballenas', '.']","['Me', 'gusta', 'el', 'mar', 'y', 'ver', '[NONE]', 'los', 'animales', 'como', 'pescado', ',', 'tiburón', ',', 'y', 'ballenas', '.']","[6, 24]",article,"evidence words = Me, gusta, el, mar, y, ver, [NONE], los, animales, como, pescado, tiburón, y, ballenas
indexes = 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13"
239,960,2a24ab63c2a993b116e05a692e76b73e6c03d020d9c3acfb3d49a716e68369de,SPA 2,"Nosotros vamos a visitar a las tiendas de juegos como ""It´s Game Time"" en Los Ángeles Oeste.","Nosotros vamos a visitar [a]{}<za:do:inan> las tiendas de juegos como ""It´s Game Time"" en Los Ángeles Oeste.",[a]{}<za:do:inan>,za:do:inan,,a,"['Nosotros', 'vamos', 'a', 'visitar', '[NONE]', 'las', 'tiendas', 'de', 'juegos', 'como', '""', 'It', '´', 's', 'Game', 'Time', '""', 'en', 'Los', 'Ángeles', 'Oeste', '.']","['Nosotros', 'vamos', 'a', 'visitar', 'a', 'las', 'tiendas', 'de', 'juegos', 'como', '""', 'It', '´', 's', 'Game', 'Time', '""', 'en', 'Los', 'Ángeles', 'Oeste', '.']","[4, 27]",article,"evidence words = ""visitar"", ""a"", ""las""
indexes = 2, 3, 5"
