,paragraph_id,sentence_id,course,essay_new,annotated_sentence,anno_error_cnt,full_error_tag,order_tag,error_tag,correction,error,target,correction_index,error_type,source,new_error_type,source_sentence,raw_evidence
702,1179,b9e5817b4212cfed70353c253b91a89183180a30de23ddd4031885f57b5e5cb3,SPA 1,Mi vacaciones perfectas van a estar en Japon.,[Mi]{mis}<na:ps:det:inan> vacaciones perfectas van a estar en Japon.,1,[Mi]{mis}<na:ps:det:inan>,0,na:ps:det:inan,mis,Mi,"['mis', 'vacaciones', 'perfectas', 'van', 'a', 'estar', 'en', 'Japon', '.']","[0, 10]",na:ps,"['Mi', 'vacaciones', 'perfectas', 'van', 'a', 'estar', 'en', 'Japon', '.']",number agreement,Mi vacaciones perfectas van a estar en Japon .,"evidence words = Mi, vacaciones
indexes = 0, 1"
702,1179,471f92f0c9cf8ad79ee24dc5de07198da802554afba3ee5aa59d7e07420343cb,SPA 1,Mi familia y mi amigos son divertidos.,Mi familia y [mi]{mis}<na:ps:det:an> amigos son divertidos.,1,[mi]{mis}<na:ps:det:an>,0,na:ps:det:an,mis,mi,"['Mi', 'familia', 'y', 'mis', 'amigos', 'son', 'divertidos', '.']","[3, 12]",na:ps,"['Mi', 'familia', 'y', 'mi', 'amigos', 'son', 'divertidos', '.']",number agreement,Mi familia y mi amigos son divertidos .,"evidence words = ""mi, amigos"", indexes = ""3, 4"""
702,1179,f082516d3ee7df5d32d583c129123f8c4db03e5893a097e28fd84c22f51b5194,SPA 1,Mi amigos o mi familia y yo nos relajamos en el avion.,[Mi]{mis}<na:ps:det:an> amigos o mi familia y yo nos relajamos en el avion.,1,[Mi]{mis}<na:ps:det:an>,0,na:ps:det:an,mis,Mi,"['mis', 'amigos', 'o', 'mi', 'familia', 'y', 'yo', 'nos', 'relajamos', 'en', 'el', 'avion', '.']","[0, 14]",na:ps,"['Mi', 'amigos', 'o', 'mi', 'familia', 'y', 'yo', 'nos', 'relajamos', 'en', 'el', 'avion', '.']",number agreement,Mi amigos o mi familia y yo nos relajamos en el avion .,"evidence words = ""Mi"", ""amigos""
indexes = 0, 1"
702,1179,922bfdddf1b3cddfb7726b6e666a58b0f7dad4308f89af46fc02cd03c300778e,SPA 1,Voy a hacer turismo con mi familia o mi amigos.,Voy a hacer turismo con mi familia o [mi]{mis}<na:ps:det:an> amigos.,1,[mi]{mis}<na:ps:det:an>,0,na:ps:det:an,mis,mi,"['Voy', 'a', 'hacer', 'turismo', 'con', 'mi', 'familia', 'o', 'mis', 'amigos', '.']","[8, 20]",na:ps,"['Voy', 'a', 'hacer', 'turismo', 'con', 'mi', 'familia', 'o', 'mi', 'amigos', '.']",number agreement,Voy a hacer turismo con mi familia o mi amigos .,"evidence words = ""mi"", ""amigos""
indexes = 8, 9"
702,1179,96914767686df5cec645101a412f5fbff538e41f14f6f174211d2f21f01d215b,SPA 1,Conozco nuevo amigos japoneses.,Conozco [nuevo]{nuevos}<na:ps:det:an> amigos japoneses.,1,[nuevo]{nuevos}<na:ps:det:an>,0,na:ps:det:an,nuevos,nuevo,"['Conozco', 'nuevos', 'amigos', 'japoneses', '.']","[1, 7]",na:ps,"['Conozco', 'nuevo', 'amigos', 'japoneses', '.']",number agreement,Conozco nuevo amigos japoneses .,"evidence words = Conozco, nuevo, amigos, japoneses
indexes = 0, 1, 2, 3"
702,1179,1b8974ef7b34b8f7847166adcf5997f69a0dce7610563102d30d193b56aa73b8,SPA 1,Mi familia o mi amigos y yo vamos a comprar y comprar muchas cosas lindas.,Mi familia o [mi]{mis}<na:ps:det:an> amigos y yo vamos a comprar y comprar muchas cosas lindas.,1,[mi]{mis}<na:ps:det:an>,0,na:ps:det:an,mis,mi,"['Mi', 'familia', 'o', 'mis', 'amigos', 'y', 'yo', 'vamos', 'a', 'comprar', 'y', 'comprar', 'muchas', 'cosas', 'lindas', '.']","[3, 20]",na:ps,"['Mi', 'familia', 'o', 'mi', 'amigos', 'y', 'yo', 'vamos', 'a', 'comprar', 'y', 'comprar', 'muchas', 'cosas', 'lindas', '.']",number agreement,Mi familia o mi amigos y yo vamos a comprar y comprar muchas cosas lindas .,"evidence words = ""mi"", ""amigos""
indexes = 2, 3"
702,1179,9acbd3aa325534f8b07c924fe891cf40c195a15ccf0ed2119d8fa40131395579,SPA 1,Miramos las fotos y jugamos en el computadora.,Miramos las fotos y jugamos en [el]{la}<ga:fm:det:inan> computadora.,1,[el]{la}<ga:fm:det:inan>,0,ga:fm:det:inan,la,el,"['Miramos', 'las', 'fotos', 'y', 'jugamos', 'en', 'la', 'computadora', '.']","[6, 16]",ga:fm,"['Miramos', 'las', 'fotos', 'y', 'jugamos', 'en', 'el', 'computadora', '.']",gender agreement,Miramos las fotos y jugamos en el computadora .,"evidence words = ""en, el, computadora""
indexes = 7, 8, 9"
704,1181,78cd55aade38b8a0c3e60bdc12df3a2299caa1bc58ecb8a05f36c6a23e058351,SPA 1,Me gusta comida buen.,Me gusta comida [buen]{buena}<ga:fm:adj:inan>.,1,[buen]{buena}<ga:fm:adj:inan>,0,ga:fm:adj:inan,buena,buen,"['Me', 'gusta', 'comida', 'buena', '.']","[3, 9]",ga:fm,"['Me', 'gusta', 'comida', 'buen', '.']",gender agreement,Me gusta comida buen .,"evidence words = ""gusta"", ""comida"", ""buen""
indexes = 1, 2, 3"
704,1181,12f662dbb7253e507cbac1465ea52636019e37dbfa5afd7577f51866cd82588d,SPA 1,Planeo viajar a París en esta vacación de verano.,Planeo viajar a París en esta [vacación]{vacaciones}<in:s:noun:inan> de verano.,1,[vacación]{vacaciones}<in:s:noun:inan>,0,in:s:noun:inan,vacaciones,vacación,"['Planeo', 'viajar', 'a', 'París', 'en', 'esta', 'vacaciones', 'de', 'verano', '.']","[6, 17]",in:s,"['Planeo', 'viajar', 'a', 'París', 'en', 'esta', 'vacación', 'de', 'verano', '.']",number agreement,Planeo viajar a París en esta vacación de verano .,"evidence words = vacación, de, verano
indexes = 7, 8, 9"
704,1181,76f87ca63779b7a4a21ca16381841a68a8f58b49289d5051236682b343ef1701,SPA 1,"

Esta es un día regular de mi vocación.",[Esta]{este}<ga:mf:pron:inan> es un día regular de mi vocación.,1,[Esta]{este}<ga:mf:pron:inan>,0,ga:mf:pron:inan,este,Esta,"['este', 'es', 'un', 'día', 'regular', 'de', 'mi', 'vocación', '.']","[0, 10]",ga:mf,"['Esta', 'es', 'un', 'día', 'regular', 'de', 'mi', 'vocación', '.']",gender agreement,Esta es un día regular de mi vocación .,"evidence words = ""Esta"", ""día""
indexes = 0, 3"
